"Área","Pantalla","Ruta histórica","Componente fuente","Dependencias visuales","Roles","Permisos","Fuente actual","Modelos actuales","Modelos canónicos","API canónica","Portabilidad","Riesgo","Bloqueador","Fase propuesta"
"Shell","Aplicación y layout global","/ y módulos por estado interno","src/App.tsx","Sidebar; Suspense; Toaster","Todos autenticados","session:valid","estado React; localStorage; eventos browser","User; TenantMembership; Tenant","User; TenantMembership; Tenant","/api/auth/me","Reimplementar","Alto","Persistencia y routing local mezclados con auto-login local","0 Fundación"
"Shell","Sidebar moderno","módulo activo","src/components/layout/Sidebar.tsx","lucide-react; shadcn","Según catálogo","permiso por aplicación; denies","roleModuleMap; estado local","User; TenantMembership","HubApplication + decisión servidor","/api/auth/me; futuro /api/hub/access","Adaptable","Medio","El menú histórico infiere por rol","0 Fundación"
"Shell","Mapa de módulos por rol","sin ruta","src/lib/roleModuleMap.ts","tipos de rol","A,V,K,B,C y operativos","ninguno real","constante frontend","Ninguno","TenantMembership.permissions/deniedPermissions","/api/auth/me","Reimplementar","Alto","Rol visual no puede conceder acciones","0 Fundación"
"Shell","Hub de aplicaciones","/hub","src/hub/HubWorkspace.tsx","appCatalog; hubAccess","A,V,K,B,C,I y operativos","permisos explícitos por app","API sesión canónica","User; TenantMembership; Tenant","Iguales","/api/auth/me","Directa","Bajo","Mantener compuertas y lazy loading","0 Fundación"
"Comercial/CRM","Inbox Comercial avanzado","/sales/pipeline","src/modules/commercial/v7/CommercialWorkspaceV7.tsx","InboxTableView; tabs; CasePipelineControl","A,V","pipeline:view","useCasesStore","ServiceCase visual; casos locales","PipelineCase; Client; TenantMembership","GET /api/crm/pipeline-cases; summary","Reimplementar","Alto","Store local es autoridad","1 Vertical 01A"
"Comercial/CRM","Tabla compacta del Inbox","/sales/pipeline","src/modules/commercial/v7/components/InboxTableView.tsx","table; badges; NewCaseModal","A,V","pipeline:view","useCasesStore","ServiceCase local","PipelineCase DTO público","GET /api/crm/pipeline-cases","Adaptable","Medio","Eliminar creación y acciones","1 Vertical 01A"
"Comercial/CRM","Resumen y filtros","/sales/pipeline","src/commercial-crm/CommercialInboxModule.tsx","cards; inputs; pagination","A,V","pipeline:view","API relacional","PipelineCase","PipelineCase","GET /api/crm/pipeline-summary; pipeline-cases","Directa","Bajo","Conservar contrato estricto","1 Vertical 01A"
"Comercial/CRM","Control visual de estado","/sales/pipeline/:case","src/modules/commercial/v7/components/CasePipelineControl.tsx","badges; timeline; buttons","A,V","pipeline:view; futuro pipeline:transition","useCasesStore; engine local","estado local","PipelineCase; PipelineCaseCommand","GET detalle; futuro POST transition","Adaptable","Alto","Acciones no autorizadas en primer vertical","1 lectura / 8 mutaciones"
"Comercial/CRM","Ficha general del caso","/sales/pipeline/:case","src/modules/commercial/v7/components/tabs/CaseTabOverview.tsx","cards; fields; alerts","A,V","pipeline:view","useCasesStore","ServiceCase visual","PipelineCase; Client; TenantMembership","GET /api/crm/pipeline-cases/:id","Adaptable","Medio","DTO actual no publica toda la ficha","1 Vertical 01A"
"Comercial/CRM","Detalle relacional drawer","/commercial; /crm; /sales/pipeline","src/commercial-crm/CommercialInboxModule.tsx","Sheet; description; focus restore","A,V","pipeline:view","API relacional","PipelineCase","PipelineCase; Client","GET /api/crm/pipeline-cases/:id","Directa","Bajo","Convertir a ficha profunda sin exponer IDs","1 Vertical 01A"
"Comercial/CRM","Pipeline Kanban","sales-pipeline","src/modules/sales/components/pipeline/PipelineBoard.tsx","DnD; cards; filters","A,V","pipeline:view; futuro pipeline:transition","useCasesStore; mocks","casos locales","PipelineCase; PipelineCaseCommand","GET lista; futuro commands","Reimplementar","Alto","Drag and drop implica mutación","8 Adaptación visual"
"Comercial/CRM","Ficha histórica por tabs","sales-pipeline/case","src/modules/sales/components/pipeline/CaseDetails.tsx","tabs; drawer; timeline","A,V","pipeline:view","sales store; bridges","ServiceCase local","PipelineCase agregado","GET detalle y subrecursos futuros","Adaptable","Alto","Contratos locales e IDs internos","1 lectura / 8 visual"
"Comercial/CRM","Historial del caso","sales-pipeline/case/history","src/modules/sales/components/pipeline/CaseDetailsTabs/CaseTimelineTab.tsx","timeline; badges","A,V","pipeline:view; pipeline:audit:view","store local","eventos locales","PipelineEvent; PipelineCaseCommand; CommercialAuditLog","futuro GET /api/crm/pipeline-cases/:id/history","Adaptable","Medio","No hay GET público de historia básica","1 básico / 6 completo"
"Comercial/CRM","Casos cerrados","commercial-closed","src/modules/commercial/CommercialClosedCasesPage.tsx","table; filters","A,V","pipeline:view","store local","casos locales","PipelineCase","GET pipeline-cases con estados terminales","Adaptable","Medio","Ruta y filtro canónico pendientes","7 Analítica"
"Comercial/CRM","Calendario comercial","commercial-calendar","src/modules/commercial/CommercialCalendarModule.tsx","calendar; dialogs","A,V","commercial:calendar:view","commercialCalendarStore","eventos locales","CommercialEvent; Survey futuro","futuro GET /api/commercial/calendar","Reimplementar","Alto","Store local y eventos heterogéneos","6 PIC e historial"
"Comercial/CRM","Vinculaciones comerciales","commercial-relations","src/modules/commercial/CommercialRelationsModule.tsx","tables; charts; cards","A,V","commercial:relations:view","commercialRelationsStore; snapshots","BusinessEntity; LeadParty; stores","CommercialParty/PipelineCaseParty futuros","futuro /api/commercial/parties","Reimplementar","Alto","Partes no son tenant-first ni ligadas a PipelineCase","7 Vinculaciones"
"Comercial/CRM","Plantillas comerciales/PIC","commercial-templates","src/modules/commercial/TemplatesHub.tsx","template editor; preview","A,V","templates:view","template store; API parcial","Template; TemplateVersion","Template; TemplateVersion; PIC futuro","/api/templates/**","Adaptable","Medio","Separar plantilla de dispatch PIC","6 PIC"
"Evaluador/Survey","Aplicación OSi Survey","?module=evaluator-app&visitId=:id","src/modules/evaluator-app/EvaluatorVisitApp.tsx","mobile shell; status; sections","Evaluador explícito","survey:assigned:view","evaluator store; settings; mock task","EvaluatorVisitReport; Survey legado","Survey futuro; Membership evaluator","futuro /api/surveys/assigned","Reimplementar","Alto","No existe Survey PipelineCase 1:N","2 Survey"
"Evaluador/Survey","Check-in y ubicación","evaluator-app/check-in","src/modules/evaluator-app/components/EvaluatorCheckInSection.tsx","geolocation; cards","Evaluador","survey:checkin","store local; browser geolocation","Survey.checkInGps","SurveyVisit/Revision futuro","futuro POST /api/surveys/:id/check-in","Adaptable","Alto","Auditoría, consentimiento y offline seguros","2 Survey"
"Evaluador/Survey","Inventario del Survey","evaluator-app/inventory","src/modules/evaluator-app/components/EvaluatorInventorySection.tsx","rooms; items; nesting","Evaluador","survey:draft:write","store local; mock catalog","SurveyRoom; SurveyItem; nesting","SurveyRevision; SurveyItem futuros","futuro /api/surveys/:id/draft","Adaptable","Alto","Versionado/requestId/payloadHash faltantes","2 Survey"
"Evaluador/Survey","Accesos y ubicaciones","evaluator-app/access","src/modules/evaluator-app/components/EvaluatorAccessSection.tsx","forms; conditions","Evaluador","survey:draft:write","store local","SurveySiteAccess único","SurveyLocation 1:N futuro","futuro /api/surveys/:id/locations","Adaptable","Alto","Modelo actual sólo admite un acceso","2 Survey"
"Evaluador/Survey","Riesgos y permisos","evaluator-app/risks","src/modules/evaluator-app/components/EvaluatorRiskSection.tsx","checkboxes; alerts","Evaluador","survey:draft:write","store local","Survey flags; risk engine","SurveyRisk/requirements futuros","futuro /api/surveys/:id/risks","Adaptable","Medio","Catálogo y reglas tenant-first pendientes","2 Survey"
"Evaluador/Survey","Resumen y envío","evaluator-app/summary","src/modules/evaluator-app/components/EvaluatorSummarySection.tsx","summary; submit","Evaluador","survey:submit","store/local sync","Survey; EvaluatorVisitReport","SurveyRevision immutable","futuro POST /api/surveys/:id/submit","Reimplementar","Alto","Envío no puede simular éxito ni usar cola offline","2 Survey"
"Evaluador/Survey","Resumen técnico","evaluator-app/technical","src/modules/evaluator-app/components/EvaluatorTechnicalSummarySection.tsx","metrics; flags","Evaluador,A,V lectura","survey:view","cálculo local","Survey summaryJson","SurveyRevision + cálculo puro","futuro GET /api/surveys/:id","Adaptable","Medio","Formalizar unidades y snapshots","2 Survey"
"Evaluador/Survey","Catálogo de artículos","admin-evaluator-catalog","src/components/modules/EvaluatorArticleCatalogModule.tsx","catalog table; editor","A","survey:catalog:manage","store/API parcial","EvaluatorArticleCatalogSnapshot","Catálogo tenant-first futuro","futuro /api/survey-catalog","Reimplementar","Medio","Catálogo snapshot no es autoridad editable completa","2 Survey"
"Cotización","Workspace de cotización","/sales-quote-v3/case/:id","src/modules/sales-quote-v3/SalesQuoteWorkspace.tsx","tabs; dialogs; summary","A,V","quote:view","salesStore; bridges; mocks; localStorage","ServiceCase; CaseQuote locales","PipelineCase; Quote futuro","futuro /api/crm/pipeline-cases/:id/quotes","Reimplementar","Alto","Monolito con múltiples autoridades locales","5 Cotización"
"Cotización","Información general","sales-quote-v3/case/:id/info","src/modules/sales-quote-v3/components/case-info/CaseInfoSummarySection.tsx","cards; badges","A,V","pipeline:view","workspace state","ServiceCase","PipelineCase; Client; Parties futuros","GET detalle ampliado","Adaptable","Medio","Campos públicos y partes pendientes","1 básico / 5 completo"
